0, 9893052 7447 11603 953.701172 858.339722 1. 687.658203 7487.15332 103.68528;
1, 6177920 8517 74917 989.027344 884.918884 1. 452.158386 9421.154297 1044.398193;
2, 11141430 12529 53691 986.010742 884.998962 1. 1022.867615 8666.423828 650.613403;
3, 3586219 6185 71892 956.342773 885.062805 1. 382.855621 8225.411133 833.569824;
4, 10970416 10689 88469 956.90332 885.083008 1. 381.490326 5701.905273 913.244934;
5, 1224565 10646 75406 971.954102 885.088013 1. 1386.505005 6124.393555 777.044189;
6, 1088264 8791 65228 967.996094 885.091003 1. 311.321869 7844.378906 691.575867;
7, 1723385 3367 147068 972.262207 885.127014 1. 427.005768 8781.861328 1738.054321;
8, 5215322 3247 118954 1023.515625 885.181213 1. 1083.851074 8680.899414 1305.99292;
9, 11056345 8149 80705 979.341797 885.207947 1. 1122.835205 8125.400879 783.504761;
10, 4734834 6121 74384 968.041504 885.300293 1. 413.272186 10176.730469 949.825989;
11, 1436480 14857 152723 976.395508 885.340881 1. 749.239502 5248.174805 1027.692383;
12, 11398038 14699 86519 964.522461 885.344666 1. 1425.754272 7427.40332 845.342468;
13, 2134531 10294 98334 982.598633 885.361267 1. 1216.639526 5846.855469 835.571899;
14, 5343368 12339 138308 1007.390625 885.365845 1. 1618.298462 4860.977051 1279.769287;
15, 2048545 4459 80151 987.111328 885.384705 1. 883.42041 3096.354736 446.795959;
16, 324915 14141 92458 955.362305 885.434692 1. 160.112976 8827.961914 1049.126831;
17, 10047801 352 99369 977.410034 885.50415 1. 1446.262939 5862.01709 788.999817;
18, 10157440 10622 40318 962.577148 885.552734 1. 229.164093 6579.986816 373.371094;
19, 35591 1529 98535 971.089355 885.614563 1. 424.149506 6803.777832 893.311157;
20, 5134059 14521 92537 1011.154297 885.667908 1. 774.614258 5586.021484 958.806091;
21, 2224205 1634 83902 1021.919922 885.715149 1. 2561.578125 4196.292969 572.82605;
22, 8563750 7937 65524 1190.557617 885.768372 1. 389.927704 7655.431641 642.299988;
23, 9542575 1668 58882 1063.639404 885.840515 1. 2267.838379 5959.807129 640.683472;
24, 9073881 12199 65074 980.169922 885.862427 1. 1383.929688 6217.736816 553.186951;
25, 3340355 3088 77408 970.499023 885.922485 1. 1566.93811 5708.181152 591.992981;
26, 10191650 4514 116056 965.623047 885.995605 1. 1917.144531 4724.789551 887.401917;
27, 11189331 6739 65526 1012.015625 886.019348 1. 893.655762 6752.220215 796.821472;
28, 9414343 14178 70804 970.831055 886.11377 1. 218.060516 9167.373047 832.07428;
29, 6830171 5092 174090 1138.163574 886.153381 1. 573.021362 7933.640625 2241.746094;
30, 10312497 9305 115595 966.464844 886.172485 1. 923.59613 2314.263428 606.704407;
31, 570186 10722 96571 1017.375 886.311768 1. 1679.774292 3529.239746 707.355469;
32, 881654 9680 78480 975.869141 886.436279 1. 891.332092 3285.355713 550.063293;
33, 2396406 10622 93449 984.451172 886.493225 1. 559.80304 3754.03418 715.960876;
34, 3507938 10927 83023 974.625 886.559143 1. 1618.700562 5132.530762 650.708984;
35, 231373 14644 94045 967.373047 886.734436 1. 572.275757 4033.647705 620.837708;
36, 3662028 10102 79464 1009.237305 886.739563 1. 790.228455 7260.686523 976.864441;
